time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-08-14T12:05:29.60Z,49.4463260,13.4410514,4171.362,-52.45,6.12,5.95,111.975,221.623,3.29,173.34774,5.06172,3,4
2024-08-14T12:05:29.80Z,49.4461485,13.4413783,4220.041,-55.57,6.98,1.33,58.738,70.603,3.19,172.84464,2.18904,3,6
2024-08-14T12:05:30.20Z,49.4458380,13.4415628,4243.964,-55.71,7.33,-1.59,34.812,51.380,1.74,172.50790,1.23884,3,7
2024-08-14T12:05:30.40Z,49.4457360,13.4415863,4245.222,-55.54,7.53,-1.60,29.947,45.012,1.74,172.28412,1.26014,3,7
2024-08-14T12:05:30.60Z,49.4456344,13.4416089,4246.143,-55.15,7.38,-2.13,26.656,40.470,1.58,172.37872,1.15857,3,7
2024-08-14T12:05:30.80Z,49.4455353,13.4416284,4245.975,-55.18,7.60,-2.31,24.256,37.043,1.49,172.15230,1.11807,3,7
2024-08-14T12:05:31.00Z,49.4454374,13.4416473,4245.628,-54.78,7.18,-2.28,22.367,34.325,1.46,172.53098,1.10815,3,7
2024-08-14T12:05:31.20Z,49.4453410,13.4416643,4244.487,-54.86,6.91,-2.06,20.917,32.150,1.47,172.82262,1.13015,3,7
2024-08-14T12:05:31.40Z,49.4452463,13.4416814,4243.859,-54.79,6.77,-2.36,19.826,30.656,1.51,172.95250,1.19470,3,6
2024-08-14T12:05:31.60Z,49.4451497,13.4417002,4243.485,-54.79,6.67,-2.50,18.870,29.310,1.52,173.05792,1.18731,3,6
2024-08-14T12:05:31.80Z,49.4450548,13.4417174,4242.688,-54.70,6.08,-2.69,18.066,28.151,1.61,173.65236,1.25485,3,5
2024-08-14T12:05:32.00Z,49.4449559,13.4417399,4241.721,-54.83,5.92,-2.83,17.238,26.705,1.56,173.84082,1.17643,3,7
2024-08-14T12:05:32.20Z,49.4448560,13.4417624,4241.469,-54.77,5.52,-3.00,16.532,25.488,1.57,174.24294,1.17902,3,7
2024-08-14T12:05:32.40Z,49.4447578,13.4417850,4241.429,-54.46,5.63,-3.26,15.875,24.361,1.57,174.10100,1.18219,3,7
2024-08-14T12:05:32.60Z,49.4446612,13.4418062,4241.925,-54.02,5.58,-3.57,15.279,23.335,1.48,174.09802,1.20337,3,7
2024-08-14T12:05:32.80Z,49.4445657,13.4418270,4242.745,-53.57,5.66,-4.02,14.765,22.423,1.42,173.97416,1.22633,3,7
2024-08-14T12:05:33.00Z,49.4444691,13.4418474,4243.216,-53.47,5.28,-4.04,14.273,21.491,1.36,174.36522,1.19696,3,7
2024-08-14T12:05:33.20Z,49.4443723,13.4418661,4243.734,-53.53,4.96,-4.04,13.834,20.675,1.35,174.70350,1.17784,3,7
2024-08-14T12:05:33.40Z,49.4442765,13.4418831,4244.675,-53.40,4.73,-4.24,13.435,19.954,1.32,174.93618,1.18264,3,7
2024-08-14T12:05:33.60Z,49.4441780,13.4418955,4245.715,-53.82,4.17,-3.91,13.059,19.289,1.26,175.56510,1.10729,3,7
