dataPointIndex,height,time,physics_time,physics_value,physics_speed,physics_acceleration,cusum_currentValue,cusum_windowAverage,cusum_windowStDev,cusum_peakResult,cusum_positiveSum,cusum_negativeSum
0,0.000,0.000,,,,,,,,,,
0,437.661,1723711929.800,,,,,,,,,,
1,427.639,1723711930.600,,,,,,,,,,
2,425.415,1723711931.000,1723711931.000,425.415,-5.560,17.419,,,,,,
3,424.466,1723711931.200,1723711931.200,424.466,-4.745,4.075,,,,,,
4,424.846,1723711931.400,1723711931.400,424.846,1.900,33.225,,,,,,
5,424.911,1723711931.600,1723711931.600,424.911,0.325,-7.875,,,,,,
6,423.567,1723711931.800,1723711931.800,423.567,-6.720,-35.225,,,,,,
7,422.200,1723711932.000,1723711932.000,422.200,-6.835,-0.575,,,,,,
8,423.432,1723711932.200,1723711932.200,423.432,6.160,64.975,,,,,,
9,420.414,1723711932.400,1723711932.400,420.414,-15.090,-106.250,,,,,,
10,418.770,1723711932.600,1723711932.600,418.770,-8.220,34.350,,,,,,
11,416.229,1723711932.800,1723711932.800,416.229,-12.705,-22.425,,,,,,
12,415.143,1723711933.000,1723711933.000,415.143,-5.430,36.375,,,,,,
13,413.752,1723711933.200,1723711933.200,413.752,-6.955,-7.625,,,,,,
14,413.803,1723711933.400,1723711933.400,413.803,0.255,36.050,,,,,,
15,414.980,1723711933.600,1723711933.600,414.980,5.885,28.150,,,,,,
16,411.404,1723711933.800,1723711933.800,411.404,-17.880,-118.825,,,,,,
17,410.928,1723711934.000,1723711934.000,410.928,-2.380,77.500,,,,,,
18,410.737,1723711934.200,1723711934.200,410.737,-0.955,7.125,,,,,,
19,411.234,1723711934.400,1723711934.400,411.234,2.485,17.200,,,,,,
20,411.160,1723711934.600,1723711934.600,411.160,-0.370,-14.275,,,,,,
21,410.325,1723711934.800,1723711934.800,410.325,-4.175,-19.025,,,,,,
22,410.453,1723711935.000,1723711935.000,410.453,0.640,24.075,,,,,,
23,410.638,1723711935.200,1723711935.200,410.638,0.925,1.425,,,,,,
24,410.850,1723711935.400,1723711935.400,410.850,1.060,0.675,,,,,,
25,410.921,1723711935.600,1723711935.600,410.921,0.355,-3.525,,,,,,
26,411.005,1723711935.800,1723711935.800,411.005,0.420,0.325,,,,,,
27,411.041,1723711936.000,1723711936.000,411.041,0.180,-1.200,,,,,,
28,411.049,1723711936.200,1723711936.200,411.049,0.040,-0.700,,,,,,
29,410.343,1723711936.400,1723711936.400,410.343,-3.530,-17.850,,,,,,
30,409.828,1723711936.600,1723711936.600,409.828,-2.575,4.775,,,,,,
31,409.319,1723711936.800,1723711936.800,409.319,-2.545,0.150,,,,,,
32,409.278,1723711937.000,1723711937.000,409.278,-0.205,11.700,-0.205,-2.868,5.440,0,0.000,0.000
33,408.683,1723711937.200,1723711937.200,408.683,-2.975,-13.850,-2.975,-2.689,5.436,0,0.000,0.000
34,408.140,1723711937.400,1723711937.400,408.140,-2.715,1.300,-2.715,-2.631,5.423,0,0.000,0.000
35,407.726,1723711937.600,1723711937.600,407.726,-2.070,3.225,-2.070,-2.784,5.358,0,0.000,0.000
36,407.284,1723711937.800,1723711937.800,407.284,-2.210,-0.700,-2.210,-2.864,5.329,0,0.000,0.000
37,406.915,1723711938.000,1723711938.000,406.915,-1.845,1.825,-1.845,-2.714,5.281,0,0.000,0.000
38,406.546,1723711938.200,1723711938.200,406.546,-1.845,0.000,-1.845,-2.547,5.227,0,0.000,0.000
39,406.188,1723711938.400,1723711938.400,406.188,-1.790,0.275,-1.790,-2.814,4.974,0,0.000,0.000
40,405.864,1723711938.600,1723711938.600,405.864,-1.620,0.850,-1.620,-2.371,4.422,0,0.000,0.000
41,405.845,1723711938.800,1723711938.800,405.845,-0.095,7.625,-0.095,-2.151,4.288,0,0.000,0.000
42,405.804,1723711939.000,1723711939.000,405.804,-0.205,-0.550,-0.205,-1.731,3.826,0,0.000,0.000
43,405.767,1723711939.200,1723711939.200,405.767,-0.185,0.100,-0.185,-1.557,3.772,0,0.000,0.000
44,405.672,1723711939.400,1723711939.400,405.672,-0.475,-1.450,-0.475,-1.331,3.642,0,0.000,0.000
45,405.497,1723711939.600,1723711939.600,405.497,-0.875,-2.000,-0.875,-1.355,3.634,0,0.000,0.000
46,405.385,1723711939.800,1723711939.800,405.385,-0.560,1.575,-0.560,-1.581,3.379,0,0.000,0.000
47,405.293,1723711940.000,1723711940.000,405.293,-0.460,0.500,-0.460,-1.003,1.504,0,0.000,0.000
48,405.223,1723711940.200,1723711940.200,405.223,-0.350,0.550,-0.350,-0.939,1.485,0,0.000,0.000
49,405.163,1723711940.400,1723711940.400,405.163,-0.300,0.250,-0.300,-0.919,1.489,0,0.000,0.000
50,405.211,1723711940.600,1723711940.600,405.211,0.240,2.700,0.240,-1.012,1.354,0,0.439,0.000
51,405.157,1723711940.800,1723711940.800,405.157,-0.270,-2.550,-0.270,-0.992,1.368,0,0.340,0.000
52,405.132,1723711941.000,1723711941.000,405.132,-0.125,0.725,-0.125,-0.861,1.239,0,0.333,0.000
53,405.111,1723711941.200,1723711941.200,405.111,-0.105,0.100,-0.105,-0.887,1.215,0,0.385,0.000
54,405.070,1723711941.400,1723711941.400,405.070,-0.205,-0.500,-0.205,-0.921,1.178,0,0.395,0.000
55,404.916,1723711941.600,1723711941.600,404.916,-0.770,-2.825,-0.770,-0.963,1.128,0,0.000,0.000
56,404.754,1723711941.800,1723711941.800,404.754,-0.810,-0.200,-0.810,-1.001,1.102,0,0.000,0.000
57,404.790,1723711942.000,1723711942.000,404.790,0.180,4.950,0.180,-1.042,1.070,0,0.580,0.000
58,404.828,1723711942.200,1723711942.200,404.828,0.190,0.050,0.190,-1.042,1.070,0,1.169,0.000
59,404.969,1723711942.400,1723711942.400,404.969,0.705,2.575,0.705,-1.037,1.076,0,2.266,0.000
60,405.054,1723711942.600,1723711942.600,405.054,0.425,-1.400,0.425,-0.896,1.016,0,2.977,0.000
61,405.027,1723711942.800,1723711942.800,405.027,-0.135,-2.800,-0.135,-0.796,0.993,0,3.042,0.000
62,405.095,1723711943.000,1723711943.000,405.095,0.340,2.375,0.340,-0.715,0.944,0,3.531,0.000
63,405.245,1723711943.200,1723711943.200,405.245,0.750,2.050,0.750,-0.697,0.959,0,4.403,0.000
64,405.319,1723711943.400,1723711943.400,405.319,0.370,-1.900,0.370,-0.573,0.895,0,4.809,0.000
65,405.276,1723711943.600,1723711943.600,405.276,-0.215,-2.925,-0.215,-0.470,0.817,0,4.574,0.000
66,405.286,1723711943.800,1723711943.800,405.286,0.050,1.325,0.050,-0.408,0.762,0,4.575,0.000
67,405.292,1723711944.000,1723711944.000,405.292,0.030,-0.100,0.030,-0.333,0.688,0,4.525,0.000
68,405.320,1723711944.200,1723711944.200,405.320,0.140,0.550,0.140,-0.271,0.631,0,4.557,0.000
69,405.174,1723711944.400,1723711944.400,405.174,-0.730,-4.350,-0.730,-0.204,0.562,0,3.694,0.188
70,405.064,1723711944.600,1723711944.600,405.064,-0.550,0.900,-0.550,-0.169,0.490,0,3.019,0.275
71,405.102,1723711944.800,1723711944.800,405.102,0.190,3.700,0.190,-0.133,0.417,0,3.092,0.000
72,405.152,1723711945.000,1723711945.000,405.152,0.250,0.300,0.250,-0.124,0.421,0,3.214,0.000
73,405.195,1723711945.200,1723711945.200,405.195,0.215,-0.175,0.215,-0.109,0.426,0,3.282,0.000
74,405.314,1723711945.400,1723711945.400,405.314,0.595,1.900,0.595,-0.095,0.429,0,3.714,0.000
75,405.315,1723711945.600,1723711945.600,405.315,0.005,-2.950,0.005,-0.060,0.441,0,3.515,0.000
76,405.167,1723711945.800,1723711945.800,405.167,-0.740,-3.725,-0.740,-0.030,0.414,0,2.557,0.461
77,405.025,1723711946.000,1723711946.000,405.025,-0.710,0.150,-0.710,-0.036,0.423,0,1.629,0.881
78,404.954,1723711946.200,1723711946.200,404.954,-0.355,1.775,-0.355,-0.045,0.433,0,1.059,0.932
79,404.809,1723711946.400,1723711946.400,404.809,-0.725,-1.850,-0.725,-0.045,0.434,0,0.119,1.352
80,404.825,1723711946.600,1723711946.600,404.825,0.080,4.025,0.080,-0.059,0.448,0,0.000,0.944
81,404.916,1723711946.800,1723711946.800,404.916,0.455,1.875,0.455,-0.064,0.446,0,0.252,0.157
82,404.878,1723711947.000,1723711947.000,404.878,-0.190,-3.225,-0.190,-0.040,0.453,0,0.000,0.035
83,404.815,1723711947.200,1723711947.200,404.815,-0.315,-0.625,-0.315,-0.042,0.454,0,0.000,0.035
84,404.813,1723711947.400,1723711947.400,404.813,-0.010,1.525,-0.010,-0.049,0.457,0,0.000,0.000
85,404.920,1723711947.600,1723711947.600,404.920,0.535,2.725,0.535,-0.043,0.456,0,0.304,0.000
86,404.952,1723711947.800,1723711947.800,404.952,0.160,-1.875,0.160,0.001,0.446,0,0.196,0.000
87,404.918,1723711948.000,1723711948.000,404.918,-0.170,-1.650,-0.170,0.033,0.421,0,0.000,0.000
88,404.890,1723711948.200,1723711948.200,404.890,-0.140,0.150,-0.140,0.021,0.421,0,0.000,0.000
89,404.835,1723711948.400,1723711948.400,404.835,-0.275,-0.675,-0.275,0.010,0.421,0,0.000,0.033
90,404.875,1723711948.600,1723711948.600,404.875,0.200,2.375,0.200,-0.022,0.404,0,0.000,0.000
91,404.762,1723711948.800,1723711948.800,404.762,-0.565,-3.825,-0.565,-0.030,0.397,0,0.000,0.297
92,404.639,1723711949.000,1723711949.000,404.639,-0.615,-0.250,-0.615,-0.044,0.409,0,0.000,0.622
93,404.578,1723711949.200,1723711949.200,404.578,-0.305,1.550,-0.305,-0.076,0.415,0,0.000,0.603
94,404.432,1723711949.400,1723711949.400,404.432,-0.730,-2.125,-0.730,-0.111,0.387,0,0.000,0.989
95,404.351,1723711949.600,1723711949.600,404.351,-0.405,1.625,-0.405,-0.148,0.392,0,0.000,1.012
96,404.273,1723711949.800,1723711949.800,404.273,-0.390,0.075,-0.390,-0.154,0.394,0,0.000,1.011
97,404.130,1723711950.000,1723711950.000,404.130,-0.715,-1.625,-0.715,-0.169,0.394,0,0.000,1.321
98,404.016,1723711950.200,1723711950.200,404.016,-0.570,0.725,-0.570,-0.194,0.404,0,0.000,1.454
99,403.920,1723711950.400,1723711950.400,403.920,-0.480,0.450,-0.480,-0.217,0.405,0,0.000,1.474
100,403.852,1723711950.600,1723711950.600,403.852,-0.340,0.700,-0.340,-0.209,0.397,0,0.000,1.367
101,403.892,1723711950.800,1723711950.800,403.892,0.200,2.700,0.200,-0.202,0.393,0,0.166,0.729
102,403.909,1723711951.000,1723711951.000,403.909,0.085,-0.575,0.085,-0.202,0.393,0,0.217,0.207
103,403.886,1723711951.200,1723711951.200,403.886,-0.115,-1.000,-0.115,-0.207,0.388,0,0.077,0.000
104,403.891,1723711951.400,1723711951.400,403.891,0.025,0.700,0.025,-0.218,0.380,0,0.092,0.000
105,403.860,1723711951.600,1723711951.600,403.860,-0.155,-0.900,-0.155,-0.237,0.352,0,0.000,0.000
106,403.853,1723711951.800,1723711951.800,403.853,-0.035,0.600,-0.035,-0.242,0.350,0,0.000,0.000
107,403.806,1723711952.000,1723711952.000,403.806,-0.235,-1.000,-0.235,-0.219,0.339,0,0.000,0.000
108,403.760,1723711952.200,1723711952.200,403.760,-0.230,0.025,-0.230,-0.203,0.327,0,0.000,0.000
109,403.789,1723711952.400,1723711952.400,403.789,0.145,1.875,0.145,-0.199,0.325,0,0.149,0.000
110,403.814,1723711952.600,1723711952.600,403.814,0.125,-0.100,0.125,-0.170,0.316,0,0.254,0.000
111,403.764,1723711952.800,1723711952.800,403.764,-0.250,-1.875,-0.250,-0.168,0.317,0,0.000,0.000
112,403.748,1723711953.000,1723711953.000,403.748,-0.080,0.850,-0.080,-0.192,0.296,0,0.000,0.000
113,403.762,1723711953.200,1723711953.200,403.762,0.070,0.750,0.070,-0.188,0.296,0,0.081,0.000
114,403.761,1723711953.400,1723711953.400,403.761,-0.005,-0.375,-0.005,-0.175,0.299,0,0.072,0.000
115,403.710,1723711953.600,1723711953.600,403.710,-0.255,-1.250,-0.255,-0.175,0.299,0,0.000,0.000
116,403.826,1723711953.800,1723711953.800,403.826,0.580,4.175,0.580,-0.202,0.268,0,0.621,0.000
117,403.926,1723711954.000,1723711954.000,403.926,0.500,-0.400,0.500,-0.188,0.296,0,1.130,0.000
118,403.920,1723711954.200,1723711954.200,403.920,-0.030,-2.650,-0.030,-0.165,0.321,0,1.073,0.000
119,404.111,1723711954.400,1723711954.400,404.111,0.955,4.925,0.955,-0.162,0.322,0,1.997,0.000
120,404.083,1723711954.600,1723711954.600,404.083,-0.140,-5.475,-0.140,-0.121,0.378,0,1.750,0.000
121,404.001,1723711954.800,1723711954.800,404.001,-0.410,-1.350,-0.410,-0.132,0.374,0,1.248,0.054
122,403.926,1723711955.000,1723711955.000,403.926,-0.375,0.175,-0.375,-0.127,0.369,0,0.779,0.081
123,403.816,1723711955.200,1723711955.200,403.816,-0.550,-0.875,-0.550,-0.119,0.360,0,0.131,0.296
124,403.799,1723711955.400,1723711955.400,403.799,-0.085,2.325,-0.085,-0.127,0.367,0,0.000,0.033
125,403.782,1723711955.600,1723711955.600,403.782,-0.085,0.000,-0.085,-0.106,0.350,0,0.000,0.000
126,403.666,1723711955.800,1723711955.800,403.666,-0.580,-2.475,-0.580,-0.095,0.345,0,0.000,0.278
127,403.570,1723711956.000,1723711956.000,403.570,-0.480,0.500,-0.480,-0.101,0.352,0,0.000,0.445
128,403.450,1723711956.200,1723711956.200,403.450,-0.600,-0.600,-0.600,-0.093,0.341,0,0.000,0.747
129,403.320,1723711956.400,1723711956.400,403.320,-0.650,-0.250,-0.650,-0.094,0.343,0,0.000,1.097
130,403.272,1723711956.600,1723711956.600,403.272,-0.240,2.050,-0.240,-0.100,0.350,0,0.000,1.027
131,403.259,1723711956.800,1723711956.800,403.259,-0.065,0.875,-0.065,-0.097,0.348,0,0.000,0.787
132,403.286,1723711957.000,1723711957.000,403.286,0.135,1.000,0.135,-0.105,0.344,0,0.034,0.340
133,403.190,1723711957.200,1723711957.200,403.190,-0.480,-3.075,-0.480,-0.104,0.345,0,0.000,0.509
134,403.086,1723711957.400,1723711957.400,403.086,-0.520,-0.200,-0.520,-0.116,0.352,0,0.000,0.702
135,403.014,1723711957.600,1723711957.600,403.014,-0.360,0.800,-0.360,-0.134,0.358,0,0.000,0.713
136,402.782,1723711957.800,1723711957.800,402.782,-1.160,-4.000,-1.160,-0.141,0.360,0,0.000,1.516
137,402.627,1723711958.000,1723711958.000,402.627,-0.775,1.925,-0.775,-0.179,0.403,0,0.000,1.870
138,402.459,1723711958.200,1723711958.200,402.459,-0.840,-0.325,-0.840,-0.196,0.417,0,0.000,2.263
139,402.419,1723711958.400,1723711958.400,402.419,-0.200,3.200,-0.200,-0.217,0.433,0,0.000,1.987
140,402.432,1723711958.600,1723711958.600,402.432,0.065,1.325,0.065,-0.228,0.428,0,0.037,1.437
141,402.509,1723711958.800,1723711958.800,402.509,0.385,1.600,0.385,-0.230,0.426,0,0.396,0.566
142,402.389,1723711959.000,1723711959.000,402.389,-0.600,-4.925,-0.600,-0.209,0.440,0,0.000,0.693
143,402.357,1723711959.200,1723711959.200,402.357,-0.160,2.200,-0.160,-0.226,0.445,0,0.000,0.359
144,402.403,1723711959.400,1723711959.400,402.403,0.230,1.950,0.230,-0.234,0.442,0,0.199,0.000
145,402.430,1723711959.600,1723711959.600,402.430,0.135,-0.475,0.135,-0.226,0.448,0,0.292,0.000
146,402.565,1723711959.800,1723711959.800,402.565,0.675,2.700,0.675,-0.213,0.452,0,0.909,0.000
147,402.591,1723711960.000,1723711960.000,402.591,0.130,-2.725,0.130,-0.210,0.458,0,0.974,0.000
148,402.493,1723711960.200,1723711960.200,402.493,-0.490,-3.100,-0.490,-0.222,0.444,0,0.440,0.001
149,402.363,1723711960.400,1723711960.400,402.363,-0.650,-0.800,-0.650,-0.238,0.445,0,0.000,0.147
150,402.250,1723711960.600,1723711960.600,402.250,-0.565,0.425,-0.565,-0.291,0.391,0,0.000,0.185
151,402.148,1723711960.800,1723711960.800,402.148,-0.510,0.275,-0.510,-0.306,0.393,0,0.000,0.154
152,401.934,1723711961.000,1723711961.000,401.934,-1.070,-2.800,-1.070,-0.309,0.395,0,0.000,0.678
153,401.962,1723711961.200,1723711961.200,401.962,0.140,6.050,0.140,-0.332,0.418,0,0.221,0.000
154,401.913,1723711961.400,1723711961.400,401.913,-0.245,-1.925,-0.245,-0.309,0.424,0,0.031,0.000
155,401.838,1723711961.600,1723711961.600,401.838,-0.375,-0.650,-0.375,-0.314,0.422,0,0.000,0.000
156,401.736,1723711961.800,1723711961.800,401.736,-0.510,-0.675,-0.510,-0.324,0.420,0,0.000,0.000
157,401.698,1723711962.000,1723711962.000,401.698,-0.190,1.600,-0.190,-0.322,0.419,0,0.000,0.000
158,401.734,1723711962.200,1723711962.200,401.734,0.180,1.850,0.180,-0.312,0.418,0,0.241,0.000
159,401.743,1723711962.400,1723711962.400,401.743,0.045,-0.675,0.045,-0.286,0.424,0,0.318,0.000
160,401.749,1723711962.600,1723711962.600,401.749,0.030,-0.075,0.030,-0.263,0.422,0,0.357,0.000
161,401.719,1723711962.800,1723711962.800,401.719,-0.150,-0.900,-0.150,-0.254,0.426,0,0.206,0.000
162,401.649,1723711963.000,1723711963.000,401.649,-0.350,-1.000,-0.350,-0.257,0.425,0,0.000,0.000
163,401.582,1723711963.200,1723711963.200,401.582,-0.335,0.075,-0.335,-0.273,0.419,0,0.000,0.000
164,401.463,1723711963.400,1723711963.400,401.463,-0.595,-1.300,-0.595,-0.268,0.417,0,0.000,0.077
165,401.455,1723711963.600,1723711963.600,401.455,-0.040,2.775,-0.040,-0.270,0.419,0,0.000,0.000
166,401.319,1723711963.800,1723711963.800,401.319,-0.680,-3.200,-0.680,-0.260,0.420,0,0.000,0.168
167,401.360,1723711964.000,1723711964.000,401.360,0.205,4.425,0.205,-0.244,0.394,0,0.212,0.000
168,401.303,1723711964.200,1723711964.200,401.303,-0.285,-2.450,-0.285,-0.211,0.389,0,0.000,0.000
169,401.216,1723711964.400,1723711964.400,401.216,-0.435,-0.750,-0.435,-0.193,0.372,0,0.000,0.019
170,401.150,1723711964.600,1723711964.600,401.150,-0.330,0.525,-0.330,-0.200,0.374,0,0.000,0.000
171,401.044,1723711964.800,1723711964.800,401.044,-0.530,-1.000,-0.530,-0.214,0.372,0,0.000,0.093
172,400.917,1723711965.000,1723711965.000,400.917,-0.635,-0.525,-0.635,-0.244,0.359,0,0.000,0.269
173,400.868,1723711965.200,1723711965.200,400.868,-0.245,1.950,-0.245,-0.245,0.360,0,0.000,0.053
174,400.901,1723711965.400,1723711965.400,400.901,0.165,2.050,0.165,-0.248,0.359,0,0.198,0.000
175,401.022,1723711965.600,1723711965.600,401.022,0.605,2.200,0.605,-0.250,0.357,0,0.839,0.000
176,400.927,1723711965.800,1723711965.800,400.927,-0.475,-5.400,-0.475,-0.235,0.383,0,0.369,0.011
177,400.822,1723711966.000,1723711966.000,400.822,-0.525,-0.250,-0.525,-0.273,0.345,0,0.000,0.055
178,400.731,1723711966.200,1723711966.200,400.731,-0.455,0.350,-0.455,-0.295,0.340,0,0.000,0.012
179,400.633,1723711966.400,1723711966.400,400.633,-0.490,-0.175,-0.490,-0.294,0.339,0,0.000,0.004
180,400.572,1723711966.600,1723711966.600,400.572,-0.305,0.925,-0.305,-0.288,0.335,0,0.000,0.000
181,400.626,1723711966.800,1723711966.800,400.626,0.270,2.875,0.270,-0.280,0.331,0,0.351,0.000
182,400.755,1723711967.000,1723711967.000,400.755,0.645,1.875,0.645,-0.254,0.342,0,1.044,0.000
183,400.818,1723711967.200,1723711967.200,400.818,0.315,-1.650,0.315,-0.197,0.344,0,1.349,0.000
184,400.947,1723711967.400,1723711967.400,400.947,0.645,1.650,0.645,-0.191,0.351,0,1.974,0.000
185,401.116,1723711967.600,1723711967.600,401.116,0.845,1.000,0.845,-0.161,0.382,0,2.751,0.000
186,401.268,1723711967.800,1723711967.800,401.268,0.760,-0.425,0.760,-0.120,0.420,0,3.379,0.000
187,401.345,1723711968.000,1723711968.000,401.345,0.385,-1.875,0.385,-0.078,0.442,0,3.577,0.000
188,401.367,1723711968.200,1723711968.200,401.367,0.110,-1.375,0.110,-0.059,0.449,0,3.477,0.000
189,401.484,1723711968.400,1723711968.400,401.484,0.585,2.375,0.585,-0.061,0.448,0,3.854,0.000
190,401.584,1723711968.600,1723711968.600,401.584,0.500,-0.425,0.500,-0.043,0.463,0,4.120,0.000
191,401.618,1723711968.800,1723711968.800,401.618,0.170,-1.650,0.170,-0.028,0.473,0,4.033,0.000
192,401.627,1723711969.000,1723711969.000,401.627,0.045,-0.625,0.045,-0.017,0.473,0,3.811,0.000
193,401.632,1723711969.200,1723711969.200,401.632,0.025,-0.100,0.025,-0.004,0.469,0,3.558,0.000
194,401.651,1723711969.400,1723711969.400,401.651,0.095,0.350,0.095,0.008,0.465,0,3.366,0.000
195,401.641,1723711969.600,1723711969.600,401.641,-0.050,-0.725,-0.050,0.031,0.452,0,3.013,0.000
196,401.712,1723711969.800,1723711969.800,401.712,0.355,2.025,0.355,0.031,0.452,0,3.066,0.000
197,401.761,1723711970.000,1723711970.000,401.761,0.245,-0.550,0.245,0.065,0.435,0,2.984,0.000
198,401.813,1723711970.200,1723711970.200,401.813,0.260,0.075,0.260,0.067,0.436,0,2.916,0.000
199,401.834,1723711970.400,1723711970.400,401.834,0.105,-0.775,0.105,0.085,0.432,0,2.677,0.000
200,401.860,1723711970.600,1723711970.600,401.860,0.130,0.125,0.130,0.103,0.421,0,2.451,0.000
201,401.864,1723711970.800,1723711970.800,401.864,0.020,-0.550,0.020,0.118,0.414,0,2.104,0.000
202,401.883,1723711971.000,1723711971.000,401.883,0.095,0.375,0.095,0.137,0.396,0,1.825,0.000
203,401.902,1723711971.200,1723711971.200,401.902,0.095,0.000,0.095,0.161,0.370,0,1.537,0.000
204,401.907,1723711971.400,1723711971.400,401.907,0.025,-0.350,0.025,0.172,0.362,0,1.173,0.000
205,401.835,1723711971.600,1723711971.600,401.835,-0.360,-1.925,-0.360,0.168,0.363,0,0.427,0.310
206,401.813,1723711971.800,1723711971.800,401.813,-0.110,1.250,-0.110,0.135,0.366,0,0.000,0.336
207,402.042,1723711972.000,1723711972.000,402.042,1.145,6.275,1.145,0.148,0.351,0,0.787,0.000
208,402.184,1723711972.200,1723711972.200,402.184,0.710,-2.175,0.710,0.203,0.372,0,1.070,0.000
209,402.351,1723711972.400,1723711972.400,402.351,0.835,0.625,0.835,0.242,0.362,0,1.446,0.000
210,402.384,1723711972.600,1723711972.600,402.384,0.165,-3.350,0.165,0.286,0.350,0,1.115,0.000
211,402.458,1723711972.800,1723711972.800,402.458,0.370,1.025,0.370,0.302,0.334,0,0.983,0.000
212,402.660,1723711973.000,1723711973.000,402.660,1.010,3.200,1.010,0.305,0.334,0,1.487,0.000
213,402.804,1723711973.200,1723711973.200,402.804,0.720,-1.450,0.720,0.318,0.352,0,1.678,0.000
214,402.826,1723711973.400,1723711973.400,402.826,0.110,-3.050,0.110,0.331,0.359,0,1.242,0.005
215,402.883,1723711973.600,1723711973.600,402.883,0.285,0.875,0.285,0.313,0.357,0,1.000,0.000
216,403.054,1723711973.800,1723711973.800,403.054,0.855,2.850,0.855,0.294,0.343,0,1.355,0.000
217,403.284,1723711974.000,1723711974.000,403.284,1.150,1.475,1.150,0.298,0.347,0,1.999,0.000
218,403.254,1723711974.200,1723711974.200,403.254,-0.150,-6.500,-0.150,0.323,0.379,0,1.298,0.246
219,403.251,1723711974.400,1723711974.400,403.251,-0.015,0.675,-0.015,0.315,0.387,0,0.736,0.343
220,403.258,1723711974.600,1723711974.600,403.258,0.035,0.250,0.035,0.294,0.388,0,0.244,0.369
221,403.262,1723711974.800,1723711974.800,403.262,0.020,-0.075,0.020,0.279,0.389,0,0.000,0.395
222,403.319,1723711975.000,1723711975.000,403.319,0.285,1.325,0.285,0.274,0.391,0,0.000,0.149
223,403.338,1723711975.200,1723711975.200,403.338,0.095,-0.950,0.095,0.282,0.389,0,0.000,0.103
224,403.360,1723711975.400,1723711975.400,403.360,0.110,0.075,0.110,0.284,0.388,0,0.000,0.045
225,403.498,1723711975.600,1723711975.600,403.498,0.690,2.900,0.690,0.285,0.387,0,0.173,0.000
226,403.402,1723711975.800,1723711975.800,403.402,-0.480,-5.850,-0.480,0.309,0.389,0,0.000,0.556
227,403.388,1723711976.000,1723711976.000,403.388,-0.070,2.050,-0.070,0.282,0.414,0,0.000,0.660
228,403.496,1723711976.200,1723711976.200,403.496,0.540,3.050,0.540,0.271,0.418,0,0.018,0.140
229,403.614,1723711976.400,1723711976.400,403.614,0.590,0.250,0.590,0.280,0.421,0,0.075,0.000
230,403.645,1723711976.600,1723711976.600,403.645,0.155,-2.175,0.155,0.297,0.423,0,0.000,0.000
231,403.578,1723711976.800,1723711976.800,403.578,-0.335,-2.450,-0.335,0.297,0.423,0,0.000,0.379
232,403.631,1723711977.000,1723711977.000,403.631,0.265,3.000,0.265,0.286,0.435,0,0.000,0.138
233,403.804,1723711977.200,1723711977.200,403.804,0.865,3.000,0.865,0.291,0.434,0,0.313,0.000
234,403.719,1723711977.400,1723711977.400,403.719,-0.425,-6.450,-0.425,0.317,0.444,0,0.000,0.475
235,403.673,1723711977.600,1723711977.600,403.673,-0.230,0.975,-0.230,0.302,0.461,0,0.000,0.731
236,403.707,1723711977.800,1723711977.800,403.707,0.170,2.000,0.170,0.306,0.456,0,0.000,0.594
237,403.833,1723711978.000,1723711978.000,403.833,0.630,2.300,0.630,0.316,0.450,0,0.045,0.010
238,404.148,1723711978.200,1723711978.200,404.148,1.575,4.725,1.575,0.299,0.427,0,1.065,0.000
239,404.246,1723711978.400,1723711978.400,404.246,0.490,-5.425,0.490,0.327,0.480,0,0.940,0.000
240,404.426,1723711978.600,1723711978.600,404.426,0.900,2.050,0.900,0.316,0.472,0,1.241,0.000
241,404.438,1723711978.800,1723711978.800,404.438,0.060,-4.200,0.060,0.340,0.482,0,0.671,0.000
242,404.366,1723711979.000,1723711979.000,404.366,-0.360,-2.100,-0.360,0.330,0.485,0,0.000,0.399
243,404.186,1723711979.200,1723711979.200,404.186,-0.900,-2.700,-0.900,0.284,0.483,0,0.000,1.294
244,404.086,1723711979.400,1723711979.400,404.086,-0.500,2.000,-0.500,0.230,0.520,0,0.000,1.712
245,404.021,1723711979.600,1723711979.600,404.021,-0.325,0.875,-0.325,0.210,0.536,0,0.000,1.925
246,403.969,1723711979.800,1723711979.800,403.969,-0.260,0.325,-0.260,0.190,0.545,0,0.000,2.048
247,404.061,1723711980.000,1723711980.000,404.061,0.460,3.600,0.460,0.153,0.536,0,0.000,1.419
248,404.056,1723711980.200,1723711980.200,404.056,-0.025,-2.425,-0.025,0.129,0.507,0,0.000,1.270
249,404.090,1723711980.400,1723711980.400,404.090,0.170,0.975,0.170,0.134,0.505,0,0.000,0.931
250,404.089,1723711980.600,1723711980.600,404.089,-0.005,-0.875,-0.005,0.140,0.504,0,0.000,0.773
251,403.971,1723711980.800,1723711980.800,403.971,-0.590,-2.925,-0.590,0.139,0.504,0,0.000,1.199
252,404.104,1723711981.000,1723711981.000,404.104,0.665,6.275,0.665,0.118,0.521,0,0.234,0.340
253,404.113,1723711981.200,1723711981.200,404.113,0.045,-3.100,0.045,0.131,0.529,0,0.000,0.108
254,404.163,1723711981.400,1723711981.400,404.163,0.250,1.025,0.250,0.129,0.529,0,0.000,0.000
255,404.151,1723711981.600,1723711981.600,404.151,-0.060,-1.550,-0.060,0.134,0.530,0,0.000,0.000
256,404.126,1723711981.800,1723711981.800,404.126,-0.125,-0.325,-0.125,0.109,0.521,0,0.000,0.000
